Age,Income,Credit_Score,Employment_Type,Credit_Rating,Loan_Amount,Debt_to_Income_Ratio,Previous_Default,Loan_Default
60.0,85000.0,720.0,Self-Employed,A,10000.0,0.45,1,1
,85000.0,650.0,Business,A+,15000.0,0.2,0,0
50.0,45000.0,800.0,Business,BBB+,,0.25,0,1
60.0,120000.0,800.0,Self-Employed,BBB+,50000.0,,0,0
45.0,65000.0,,Self-Employed,nan,,0.5,0,0
28.0,45000.0,720.0,Self-Employed,AAA,10000.0,0.5,0,0
50.0,65000.0,690.0,nan,AAA,10000.0,0.45,0,0
50.0,95000.0,,Salaried,BBB,35000.0,,0,0
60.0,65000.0,720.0,Self-Employed,A+,,0.25,0,0
30.0,120000.0,,Self-Employed,BBB+,,,0,0
45.0,95000.0,690.0,Self-Employed,AA,10000.0,,0,0
60.0,65000.0,580.0,Business,A,50000.0,0.25,0,0
45.0,95000.0,580.0,Business,AAA,15000.0,0.2,0,0
45.0,65000.0,580.0,nan,A,15000.0,,0,0
28.0,120000.0,580.0,Salaried,A,,,0,0
50.0,65000.0,740.0,nan,BBB,15000.0,0.2,0,0
,65000.0,650.0,Salaried,BBB+,10000.0,,0,1
28.0,65000.0,740.0,Business,AAA,10000.0,,0,0
28.0,45000.0,740.0,Business,A,,,0,1
45.0,45000.0,740.0,Business,AAA,,0.5,0,0
35.0,45000.0,580.0,nan,AA,35000.0,0.35,1,0
50.0,120000.0,690.0,Self-Employed,BBB,,0.2,1,0
30.0,95000.0,800.0,Self-Employed,AA,50000.0,,1,0
28.0,85000.0,800.0,Business,AAA,15000.0,0.5,0,1
,65000.0,650.0,Self-Employed,nan,,0.2,0,0
35.0,65000.0,580.0,Self-Employed,AAA,25000.0,0.45,1,0
35.0,120000.0,580.0,nan,BBB+,35000.0,0.45,0,0
30.0,65000.0,580.0,Salaried,A,25000.0,,0,0
28.0,45000.0,,Business,A,10000.0,0.5,0,0
,85000.0,720.0,Business,AA,15000.0,0.5,0,0
50.0,,,nan,BBB,,0.2,1,0
25.0,65000.0,720.0,nan,nan,25000.0,0.2,0,0
,45000.0,580.0,Self-Employed,A+,15000.0,0.5,0,0
30.0,,580.0,Business,A,10000.0,0.2,0,0
35.0,85000.0,,Salaried,BBB+,50000.0,0.5,0,0
50.0,,,nan,AA,35000.0,0.35,0,0
,45000.0,720.0,Salaried,AA,15000.0,0.5,0,0
25.0,95000.0,800.0,Salaried,A+,15000.0,0.45,0,0
25.0,95000.0,720.0,Business,BBB+,50000.0,0.2,1,0
45.0,,,Business,BBB,15000.0,0.5,0,0
45.0,120000.0,690.0,nan,BBB+,10000.0,0.5,0,0
60.0,,,Business,BBB,10000.0,0.2,0,0
30.0,65000.0,690.0,Business,BBB+,50000.0,0.35,0,0
28.0,65000.0,650.0,Business,BBB+,35000.0,0.35,0,0
,95000.0,,Salaried,AAA,,0.2,0,0
,120000.0,650.0,nan,AA,25000.0,0.25,0,0
28.0,45000.0,800.0,Self-Employed,BBB+,,0.2,0,0
60.0,65000.0,720.0,Salaried,A+,15000.0,0.2,1,0
35.0,95000.0,690.0,Business,BBB+,25000.0,0.35,0,0
35.0,85000.0,720.0,Salaried,A,50000.0,0.35,0,0
60.0,95000.0,650.0,Business,AA,50000.0,0.2,0,0
35.0,65000.0,690.0,Business,A,35000.0,0.2,0,0
45.0,65000.0,720.0,Salaried,AA,25000.0,0.2,0,0
,95000.0,,nan,A,10000.0,0.35,1,0
60.0,45000.0,580.0,Business,BBB+,25000.0,0.2,1,0
,,650.0,nan,BBB+,15000.0,0.2,0,0
28.0,65000.0,720.0,Self-Employed,AAA,10000.0,,1,0
25.0,95000.0,650.0,Business,A+,50000.0,0.25,0,0
45.0,95000.0,740.0,nan,A,25000.0,0.45,0,0
50.0,120000.0,650.0,nan,BBB,,0.25,0,0
45.0,,690.0,Self-Employed,AAA,35000.0,,1,0
60.0,85000.0,740.0,nan,A,,0.45,0,0
50.0,45000.0,690.0,nan,A,35000.0,0.2,0,0
25.0,85000.0,580.0,Self-Employed,AAA,15000.0,,0,0
60.0,,740.0,Business,BBB+,,0.2,0,0
30.0,,,nan,A,25000.0,0.35,0,0
,,650.0,nan,BBB+,25000.0,0.5,1,0
25.0,85000.0,720.0,nan,AAA,,,0,0
,,800.0,Salaried,BBB+,25000.0,0.35,0,0
35.0,95000.0,650.0,Self-Employed,AA,15000.0,,1,0
30.0,85000.0,650.0,Salaried,BBB,10000.0,,0,1
30.0,,580.0,Self-Employed,nan,15000.0,0.35,1,0
25.0,95000.0,,Business,A,35000.0,0.45,0,1
30.0,120000.0,800.0,Business,A+,15000.0,0.25,0,0
50.0,,740.0,nan,BBB,35000.0,0.2,0,0
30.0,85000.0,740.0,Self-Employed,nan,25000.0,,1,0
,65000.0,740.0,Business,BBB+,10000.0,0.2,0,0
,,690.0,Self-Employed,A,25000.0,0.5,0,0
60.0,65000.0,690.0,Business,BBB+,50000.0,0.35,0,0
,95000.0,720.0,Salaried,AA,25000.0,0.2,0,0
60.0,120000.0,800.0,Business,AAA,35000.0,0.35,0,0
,45000.0,740.0,Salaried,A,25000.0,0.2,0,0
50.0,120000.0,690.0,Business,nan,25000.0,0.25,1,0
28.0,,720.0,nan,nan,10000.0,0.25,0,1
60.0,65000.0,,Salaried,AA,25000.0,0.25,0,0
45.0,65000.0,720.0,Business,AA,10000.0,0.25,0,1
35.0,85000.0,690.0,nan,A,,0.25,1,0
25.0,65000.0,580.0,Salaried,BBB+,50000.0,0.25,0,0
,85000.0,580.0,nan,A+,10000.0,0.35,0,0
30.0,95000.0,740.0,Self-Employed,nan,35000.0,,0,0
28.0,45000.0,580.0,Self-Employed,nan,,0.2,0,0
,,740.0,Salaried,AA,10000.0,0.25,0,0
30.0,85000.0,740.0,Business,BBB,10000.0,0.35,0,0
35.0,45000.0,690.0,Salaried,AA,50000.0,0.35,0,1
35.0,65000.0,580.0,nan,A+,35000.0,0.35,0,0
35.0,65000.0,740.0,Business,BBB+,15000.0,,0,0
30.0,45000.0,800.0,Self-Employed,BBB+,15000.0,0.2,0,0
,65000.0,,Business,BBB,10000.0,,0,0
35.0,95000.0,720.0,Self-Employed,nan,25000.0,0.45,0,0
50.0,95000.0,720.0,Business,AA,35000.0,0.35,0,0
60.0,45000.0,690.0,Business,BBB+,,0.45,0,0
30.0,85000.0,580.0,Business,A+,25000.0,0.5,0,0
30.0,85000.0,580.0,nan,A,25000.0,0.25,0,0
,45000.0,740.0,nan,AAA,35000.0,0.25,0,0
30.0,85000.0,650.0,Salaried,AAA,10000.0,,0,0
30.0,85000.0,740.0,Salaried,AAA,10000.0,0.2,0,0
35.0,95000.0,,Self-Employed,nan,10000.0,0.45,0,0
,85000.0,800.0,nan,AA,10000.0,0.2,0,0
35.0,120000.0,720.0,Self-Employed,BBB,15000.0,,0,0
60.0,,740.0,Salaried,BBB+,10000.0,0.25,0,0
28.0,65000.0,650.0,Self-Employed,A,15000.0,0.2,0,0
60.0,120000.0,650.0,Salaried,A+,15000.0,0.2,0,0
28.0,85000.0,740.0,nan,A,10000.0,0.25,1,0
35.0,95000.0,690.0,Business,A+,50000.0,0.45,0,0
60.0,45000.0,720.0,nan,nan,,0.25,0,0
,85000.0,690.0,Self-Employed,AA,25000.0,0.2,0,0
25.0,95000.0,800.0,Self-Employed,AAA,15000.0,0.45,0,0
35.0,,650.0,nan,AA,35000.0,0.45,0,0
28.0,85000.0,650.0,nan,nan,35000.0,0.25,0,0
50.0,45000.0,,Salaried,BBB,,0.2,0,0
28.0,95000.0,800.0,Self-Employed,BBB,35000.0,,1,0
50.0,95000.0,650.0,Self-Employed,nan,50000.0,0.2,0,0
30.0,95000.0,800.0,nan,A+,35000.0,0.35,0,0
60.0,,720.0,Business,BBB+,25000.0,0.5,0,0
50.0,85000.0,580.0,Self-Employed,BBB+,25000.0,,0,0
28.0,,650.0,Business,A+,15000.0,0.45,0,0
30.0,65000.0,,nan,BBB,10000.0,,0,0
25.0,65000.0,720.0,nan,BBB,50000.0,0.45,0,0
,85000.0,740.0,Salaried,BBB,15000.0,0.45,0,0
,,800.0,Self-Employed,AA,50000.0,,0,0
,45000.0,740.0,Business,BBB,10000.0,0.45,0,0
50.0,95000.0,690.0,Salaried,A,35000.0,0.45,0,0
